BUY THIS:
"1","**(11)X BRAND NAME TESTED PS FROM 235 WATT TO 450 WATT**","https://www.kijiji.ca/v-computer-components/mississauga-peel-region/11-x-brand-name-tested-ps-from-235-watt-to-450-watt/1560596304","Etobicoke, ON M9C 1R2","***E-TRANSFER (SOCIAL DISTANCING) ONLY AND PORCH PICKUP*** 

***IF AD IS UP, IT IS STILL AVAILABLE*** 



***PLEASE NOTE THAT THESE ARE ALL WORKING POWER SUPPLIES WITH POWER TESTER IN THE PICTURES***

***ALL FOR ONLY $59.99 OBO AND LESS THAN $5.50 PER POWER SUPPLY***

***SELLING AS ONE LOT***




I am selling FULLY TESTED POWER SUPPLIES with following model number and specs below:

1.	DELTA POWER
-MODEL:  MAX-500ATX, 450WATT

2.	MAX POWER
-MODEL:  500ATX, 400 WATT 

3.	NOVIA
-MODEL:  MS-300ATX, 300 WATT

4.	AOPEN
-MODEL:  FSP300-60ATV, 300 WATT

5.	APOEN
-MODEL:  ATX-300GT, 300WATT

6.	SPARKLE POWER INTL LTD
-MODEL:  FSP300-60ATV, 300 WATT

7.	CYBERZONE
-MODEL:  KC-300, 300 WATT

8.	TSI POWER
-MODEL:  LC-A300ATX, 300 WATT

9.	DELL
-MODEL:  HP-P2507F3P, 250 WATT

10.	 AOPEN
-MODEL:  ATX-250N, 250 WATT

11.	AOPEN
-MODEL:  SPI-235HP, 235 WATT","Sun Apr 11 2021 16:29:11 GMT-0400 (Eastern Daylight Time)"
"1","**BRAND NAME&FULLY TESTED (11) X PS FROM 235 WATT TO 450 WATT**","https://www.kijiji.ca/v-computer-components/markham-york-region/brand-name-fully-tested-11-x-ps-from-235-watt-to-450-watt/1560598226","Thornhill, ON L4J 8X7","***E-TRANSFER (SOCIAL DISTANCING) ONLY AND PORCH PICKUP*** 

***IF AD IS UP, IT IS STILL AVAILABLE*** 



***PLEASE NOTE THAT THESE ARE ALL WORKING POWER SUPPLIES WITH POWER TESTER IN THE PICTURES***

***ALL FOR ONLY $59.99 OBO AND LESS THAN $5.50 PER POWER SUPPLY***

***SELLING AS ONE LOT***




I am selling FULLY TESTED POWER SUPPLIES with following model number and specs below:

1.	DELTA POWER
-MODEL:  MAX-500ATX, 450WATT

2.	MAX POWER
-MODEL:  500ATX, 400 WATT 

3.	NOVIA
-MODEL:  MS-300ATX, 300 WATT

4.	AOPEN
-MODEL:  FSP300-60ATV, 300 WATT

5.	APOEN
-MODEL:  ATX-300GT, 300WATT

6.	SPARKLE POWER INTL LTD
-MODEL:  FSP300-60ATV, 300 WATT

7.	CYBERZONE
-MODEL:  KC-300, 300 WATT

8.	TSI POWER
-MODEL:  LC-A300ATX, 300 WATT

9.	DELL
-MODEL:  HP-P2507F3P, 250 WATT

10.	 AOPEN
-MODEL:  ATX-250N, 250 WATT

11.	AOPEN
-MODEL:  SPI-235HP, 235 WATT","Sun Apr 11 2021 16:36:29 GMT-0400 (Eastern Daylight Time)"
"1","***TESTED (11)X BRAND NAME PS FROM 235 WATT TO 450 WATT ***","https://www.kijiji.ca/v-computer-components/city-of-toronto/tested-11-x-brand-name-ps-from-235-watt-to-450-watt/1560596703","Thornhill, ON L4J 1C2","***E-TRANSFER (SOCIAL DISTANCING) ONLY AND PORCH PICKUP*** 

***IF AD IS UP, IT IS STILL AVAILABLE*** 



***PLEASE NOTE THAT THESE ARE ALL WORKING POWER SUPPLIES WITH POWER TESTER IN THE PICTURES***

***ALL FOR ONLY $59.99 OBO AND LESS THAN $5.50 PER POWER SUPPLY***

***SELLING AS ONE LOT***




I am selling FULLY TESTED POWER SUPPLIES with following model number and specs below:

1.	DELTA POWER
-MODEL:  MAX-500ATX, 450WATT

2.	MAX POWER
-MODEL:  500ATX, 400 WATT 

3.	NOVIA
-MODEL:  MS-300ATX, 300 WATT

4.	AOPEN
-MODEL:  FSP300-60ATV, 300 WATT

5.	APOEN
-MODEL:  ATX-300GT, 300WATT

6.	SPARKLE POWER INTL LTD
-MODEL:  FSP300-60ATV, 300 WATT

7.	CYBERZONE
-MODEL:  KC-300, 300 WATT

8.	TSI POWER
-MODEL:  LC-A300ATX, 300 WATT

9.	DELL
-MODEL:  HP-P2507F3P, 250 WATT

10.	 AOPEN
-MODEL:  ATX-250N, 250 WATT

11.	AOPEN
-MODEL:  SPI-235HP, 235 WATT","Sun Apr 11 2021 16:30:45 GMT-0400 (Eastern Daylight Time)"
"10","A lot of Computer Power supplies, different power, $10-35$ each","https://www.kijiji.ca/v-computer-components/city-of-toronto/a-lot-of-computer-power-supplies-different-power-10-35-each/1562632971","Toronto, ON M1B5A8","FINAL firm PRICES !!!! pickup only
416-284-0811 no texts
A lot of (around 9-10) Computer Power supplies, different power up to 400-450W, removed from working systems
Prices: 250W and less for $10 each, 250W- $15, 300W for $20, 350W for $25 and some 400-450W for $30-$35 each","Thu Apr 22 2021 23:45:16 GMT-0400 (Eastern Daylight Time)"
"10","A lot of Computer Power supplies, different power, $10-35$ each","https://www.kijiji.ca/v-computer-components/city-of-toronto/a-lot-of-computer-power-supplies-different-power-10-35-each/1562458377","Toronto, ON M1B5A8","FINAL firm PRICES !!!! pickup only  east scarborough
416-284-0811 no texts
A lot of (around 9-10) Computer Power supplies, different power up to 400-450W, removed from working systems
Prices: 250W and less for $10 each, more than 250W- $15, 300W for $20, 350W for $25 and some 400-450W for $30-$35 each","Wed Apr 21 2021 22:33:16 GMT-0400 (Eastern Daylight Time)"
"15","ATX case with 450 watt power supply","https://www.kijiji.ca/v-computer-components/markham-york-region/atx-case-with-450-watt-power-supply/1560612116","Markham, ON L6E 1G3","ATX case with 450 watt power supply 
Power supply can be tested to show you working before you buy","Sun Apr 11 2021 17:32:43 GMT-0400 (Eastern Daylight Time)"
"35","EVGA GTX 550ti FOR SALE","https://www.kijiji.ca/v-computer-components/markham-york-region/evga-gtx-550ti-for-sale/1562468904","Markham, ON L3S 2H6","EVGA GTX 550ti - been laying around for a few years - works , good for regular office computer that needs gpu - $40

Corsair CX500 500w 80+ Bronze power supply - $50 - works great , non modular","Thu Apr 22 2021 01:08:00 GMT-0400 (Eastern Daylight Time)"
"35","Coolmax Computer Power Supply 500W","https://www.kijiji.ca/v-computer-components/markham-york-region/coolmax-computer-power-supply-500w/1540702501","Markham, ON L6E 1J2","With its robust output, premium quality, and reliability, the COOLMAX V-500 redefines what an ultra-affordable PSU should be. It delivers all the power necessary to run your system smoothly, and is constructed with quality components for long life. A silent 120mm fan ensures efficient, quiet cooling. Also with tidy cable wires, the V-500 is simple to use and easy to install, making it a great candidate for your PC build or system upgrade.","Sun Mar 14 2021 22:36:35 GMT-0400 (Eastern Daylight Time)"
"40","Cooler Master Elite 500W Ver.3 - ATX 500W Power Supply or (OBO)","https://www.kijiji.ca/v-computer-components/mississauga-peel-region/cooler-master-elite-500w-ver-3-atx-500w-power-supply-or-obo/1560911763","50 Quarry Edge Dr, Brampton, ON L6V 4K2","Active PFC + Forward Topology Design - Constructed with protective measures normally found in high-end power supplies to increase safety and current stability.
Higher Temperature Resistance - Capable of operating at 40 DegreeC under full load allowing longer lifespan in warmer environments.
Peak Power Tolerance - Can reliably push an additional 50W at peak power load for up to 10 seconds.
75 Percent efficiency - Maintains an average efficiency of 75 Percent at 50 Percent load.
Super Resilient - The Elite V3 will perform consistently in whatever environment you throw at it whether it's high altitudes above 5000 meters or ultra humid settings like a tropical rain-forest.","Tue Apr 13 2021 11:24:29 GMT-0400 (Eastern Daylight Time)"
"40","Thermaltake TR2 TR-500 500W desktop pc power supply","https://www.kijiji.ca/v-computer-components/mississauga-peel-region/thermaltake-tr2-tr-500-500w-desktop-pc-power-supply/1562274065","Mississauga, ON L5C 2Z3, Canada","Thermaltake TR2 TR-500 500W ATX12V v2.3 SLI Ready CrossFire Ready Power Supply. Used.","Tue Apr 20 2021 20:07:22 GMT-0400 (Eastern Daylight Time)"
